map,map_config,rgb_path,bev_path
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/0.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/0.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/1.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/1.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/2.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/2.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/3.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/3.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/4.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/4.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/5.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/5.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/6.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/6.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/7.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/7.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/8.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/8.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/9.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/9.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/10.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/10.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/11.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/11.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/12.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/12.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/13.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/13.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/14.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/14.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/15.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/15.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/16.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/16.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/17.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/17.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/18.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/18.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/19.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/19.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/20.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/20.png
Town01,layers_all,Dan-2023-Front2BEV/Town01/layers_all/rgb/21.jpg,Dan-2023-Front2BEV/Town01/layers_all/bev/2k/21.png
