map,map_config,rgb_path,bev_path
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/0.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/0.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/1.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/1.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/2.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/2.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/3.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/3.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/4.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/4.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/5.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/5.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/6.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/6.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/7.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/7.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/8.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/8.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/9.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/9.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/10.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/10.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/11.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/11.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/12.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/12.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/13.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/13.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/14.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/14.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/15.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/15.png
Town01,traffic,/media/aisyslab/dan/Datasets/Town01/traffic/rgb/16.jpg,/media/aisyslab/dan/Datasets/Town01/traffic/bev/-K-/16.png
