map,map_config,rgb_path,bev_path
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/0.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/0.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/1.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/1.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/2.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/2.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/3.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/3.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/4.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/4.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/5.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/5.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/6.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/6.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/7.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/7.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/8.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/8.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/9.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/9.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/10.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/10.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/11.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/11.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/12.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/12.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/13.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/13.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/14.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/14.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/15.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/15.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/16.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/16.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/17.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/17.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/18.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/18.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/19.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/19.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/20.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/20.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/21.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/21.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/22.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/22.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/23.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/23.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/24.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/24.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/25.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/25.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/26.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/26.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/27.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/27.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/28.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/28.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/29.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/29.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/30.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/30.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/31.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/31.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/32.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/32.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/33.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/33.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/34.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/34.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/35.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/35.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/36.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/36.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/37.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/37.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/38.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/38.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/39.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/39.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/40.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/40.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/41.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/41.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/42.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/42.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/43.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/43.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/44.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/44.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/45.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/45.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/46.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/46.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/47.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/47.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/48.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/48.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/49.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/49.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/50.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/50.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/51.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/51.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/52.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/52.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/53.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/53.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/54.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/54.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/55.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/55.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/56.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/56.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/57.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/57.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/58.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/58.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/59.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/59.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/60.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/60.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/61.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/61.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/62.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/62.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/63.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/63.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/64.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/64.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/65.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/65.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/66.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/66.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/67.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/67.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/68.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/68.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/69.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/69.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/70.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/70.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/71.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/71.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/72.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/72.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/73.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/73.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/74.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/74.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/75.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/75.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/76.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/76.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/77.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/77.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/78.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/78.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/79.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/79.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/80.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/80.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/81.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/81.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/82.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/82.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/83.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/83.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/84.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/84.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/85.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/85.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/86.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/86.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/87.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/87.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/88.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/88.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/89.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/89.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/90.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/90.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/91.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/91.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/92.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/92.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/93.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/93.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/94.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/94.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/95.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/95.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/96.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/96.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/97.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/97.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/98.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/98.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/99.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/99.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/100.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/100.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/101.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/101.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/102.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/102.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/103.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/103.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/104.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/104.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/105.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/105.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/106.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/106.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/107.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/107.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/108.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/108.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/109.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/109.png
Town01,traffic,Dan-2023-Front2BEV/Town01/traffic/rgb/110.jpg,Dan-2023-Front2BEV/Town01/traffic/bev/2k/110.png
